Prey,Predator
Hemilepidotus hemilepidotus,Atheresthes stomias
Hexagrammos decagrammus,Atheresthes stomias
Hippoglossoides elassodon,Atheresthes stomias
Hippoglossus stenolepis,Atheresthes stomias
Hippolytidae,Atheresthes stomias
Isopoda,Atheresthes stomias
Lepidopsetta sp.,Atheresthes stomias
Lumpenus maculatus,Atheresthes stomias
Malacostraca,Atheresthes stomias
Mallotus villosus,Atheresthes stomias
Myctophidae,Atheresthes stomias
Mysidacea Mysida,Atheresthes stomias
Mysidae,Atheresthes stomias
Natantia,Atheresthes stomias
No Code,Atheresthes stomias
Non-gadoid Fish Remains,Atheresthes stomias
Oncorhynchus keta,Atheresthes stomias
Oncorhynchus kisutch,Atheresthes stomias
Oncorhynchus nerka,Atheresthes stomias
Ophiuroidae Ophiurida,Atheresthes stomias
Osmeridae,Atheresthes stomias
Osteichthyes Teleostei,Atheresthes stomias
Paguridae,Atheresthes stomias
Pandalidae,Atheresthes stomias
Pandalopsis dispar,Atheresthes stomias
Pandalus borealis,Atheresthes stomias
Pandalus platyceros,Atheresthes stomias
Pandalus sp.,Atheresthes stomias
Pleurogrammus monopterygius,Atheresthes stomias
Pleuronectes asper,Atheresthes stomias
Pleuronectidae,Atheresthes stomias
Pleuronectiformes Pleuronectoidei,Atheresthes stomias
Podothecus acipenserinus,Atheresthes stomias
Polychaeta,Atheresthes stomias
Ronquilis jordani,Atheresthes stomias
Salmonidae,Atheresthes stomias
Sebastes sp.,Atheresthes stomias
Stichaeidae,Atheresthes stomias
Terebellida,Atheresthes stomias
Terebellidae,Atheresthes stomias
Teuthoidea,Atheresthes stomias
Thaleichthys pacificus,Atheresthes stomias
Themisto sp.,Atheresthes stomias
Theragra chalcogramma,Atheresthes stomias
Thysanoessa inermis,Atheresthes stomias
Thysanoessa sp.,Atheresthes stomias
Triglops sp.,Atheresthes stomias
Unidentified organic material,Atheresthes stomias
Vibilia sp.,Atheresthes stomias
Zoarcidae,Atheresthes stomias
Caridea,Coryphaenoides pectoralis
Osteichthyes Teleostei,Coryphaenoides pectoralis
Polychaeta,Coryphaenoides pectoralis
Teuthoidea,Coryphaenoides pectoralis
Caridea,Errex zachirus
Copepoda,Errex zachirus
Crangon sp.,Errex zachirus
Crustacea,Errex zachirus
Decapoda brachyura,Errex zachirus
Echiuridae,Errex zachirus
Euphausiacea,Errex zachirus
Gastropoda,Errex zachirus
No Code,Errex zachirus
Ophiuridae,Errex zachirus
Polychaeta,Errex zachirus
Unidentified material,Errex zachirus
Unidentified organic material,Errex zachirus
Acantholithodes hispidus,Gadus macrocephalus
Agonidae,Gadus macrocephalus
Ammodytes hexapterus,Gadus macrocephalus
Ammodytes sp.,Gadus macrocephalus
Ampeliscidae,Gadus macrocephalus
Ampharetidae,Gadus macrocephalus
Amphipoda,Gadus macrocephalus
Anomura,Gadus macrocephalus
Anonyx sp.,Gadus macrocephalus
Anthozoa,Gadus macrocephalus
Aphroditidae,Gadus macrocephalus
Argis alaskensis,Gadus macrocephalus
Argis dentata,Gadus macrocephalus
Argis lar,Gadus macrocephalus
Argis ovifer,Gadus macrocephalus
Argis sp.,Gadus macrocephalus
Artacama sp.,Gadus macrocephalus
Artediellus sp.,Gadus macrocephalus
Artedius sp.,Gadus macrocephalus
Ascidiacea,Gadus macrocephalus
Asteriidae,Gadus macrocephalus
Asteroidea,Gadus macrocephalus
Asterotheca alascana,Gadus macrocephalus
Asterotheca pentacanthus,Gadus macrocephalus
Asterotheca sp.,Gadus macrocephalus
Atheresthes sp.,Gadus macrocephalus
Atheresthes stomias,Gadus macrocephalus
Balanomorpha,Gadus macrocephalus
Bathymaster signatus,Gadus macrocephalus
Bathymaster sp.,Gadus macrocephalus
Bivalvia,Gadus macrocephalus
Boltenia sp.,Gadus macrocephalus
Brada sp.,Gadus macrocephalus
Buccinidae,Gadus macrocephalus
Buccinum sp.,Gadus macrocephalus
Calanoida,Gadus macrocephalus
Cancer oregonensis,Gadus macrocephalus
Cancer sp.,Gadus macrocephalus
Caprellidea,Gadus macrocephalus
Cardiidae,Gadus macrocephalus
Caridea,Gadus macrocephalus
Cephalopoda,Gadus macrocephalus
Chionoecetes bairdi,Gadus macrocephalus
Chionoecetes opilio,Gadus macrocephalus
Chionoecetes sp.,Gadus macrocephalus
Cirripedia,Gadus macrocephalus
Clinocardium sp.,Gadus macrocephalus
Clinocardium sp.,Gadus macrocephalus
Clupea pallasi,Gadus macrocephalus
Clupea pallasi,Gadus macrocephalus
Colus halli,Gadus macrocephalus
Cottidae,Gadus macrocephalus
Crangon alaskensis,Gadus macrocephalus
Crangon communis,Gadus macrocephalus
Crangon dalli,Gadus macrocephalus
Crangon sp.,Gadus macrocephalus
Crangon stylirostris,Gadus macrocephalus
Crangonidae,Gadus macrocephalus
Crustacea,Gadus macrocephalus
Cryptacanthodes aleutensis,Gadus macrocephalus
Cryptacanthodidae,Gadus macrocephalus
Cumacea,Gadus macrocephalus
Cyclopteridae,Gadus macrocephalus
Dasycottus setiger,Gadus macrocephalus
Decapoda,Gadus macrocephalus
Decapoda brachyura,Gadus macrocephalus
Echinacea sp.,Gadus macrocephalus
Echinodermata,Gadus macrocephalus
Echiura,Gadus macrocephalus
Echiuroinea,Gadus macrocephalus
Echiurus echiurus,Gadus macrocephalus
Ectoprocta,Gadus macrocephalus
Elassachirus tenuimanus,Gadus macrocephalus
Elassochirus sp.,Gadus macrocephalus
Erimacrus isenbeckii,Gadus macrocephalus
Errex zachirus,Gadus macrocephalus
Eualus avinus,Gadus macrocephalus
Eualus barbata,Gadus macrocephalus
Eualus biunguis,Gadus macrocephalus
Eualus pusiolus,Gadus macrocephalus
Eualus sp.,Gadus macrocephalus
Eualus stoneyi,Gadus macrocephalus
Eualus townsendi,Gadus macrocephalus
Eumicrotremus orbis,Gadus macrocephalus
Euphausiacea,Gadus macrocephalus
Fish eggs,Gadus macrocephalus
Fishery discards,Gadus macrocephalus
Flabellifera,Gadus macrocephalus
Gadidae,Gadus macrocephalus
Galatheidae,Gadus macrocephalus
Gammaridea,Gadus macrocephalus
Gastropoda,Gadus macrocephalus
Golfingia margaritacea,Gadus macrocephalus
Goniadidae,Gadus macrocephalus
Gymnosomata,Gadus macrocephalus
Heptacarpus sp.,Gadus macrocephalus
Hexagrammidae,Gadus macrocephalus
Hippoglossis sp.,Gadus macrocephalus
Hippoglossoides elassodon,Gadus macrocephalus
Hippoglossoides robustus,Gadus macrocephalus
Hippoglossus stenolepis,Gadus macrocephalus
Hippolytidae,Gadus macrocephalus
Holmesiella anomala,Gadus macrocephalus
Hyas coarctatus,Gadus macrocephalus
Hyas lyratus,Gadus macrocephalus
Hyas sp.,Gadus macrocephalus
Hydrozoa,Gadus macrocephalus
Hyperiidae,Gadus macrocephalus
Icelidae,Gadus macrocephalus
Icelinus borealis,Gadus macrocephalus
Icelus spiniger,Gadus macrocephalus
Insecta,Gadus macrocephalus
Isaeidae,Gadus macrocephalus
Isopoda,Gadus macrocephalus
Lebbeus groenlandicus,Gadus macrocephalus
Lebbeus sp.,Gadus macrocephalus
Lepidopsetta sp.,Gadus macrocephalus
Leuconidae,Gadus macrocephalus
Lopholithodes foraminatus,Gadus macrocephalus
Lopholithodes sp.,Gadus macrocephalus
Lumpenella longirostris,Gadus macrocephalus
Lumpenus fabricii,Gadus macrocephalus
Lumpenus maculatus,Gadus macrocephalus
Lumpenus sp.,Gadus macrocephalus
Lycodes brevipes,Gadus macrocephalus
Lycodes diapterus,Gadus macrocephalus
Lycodes sp.,Gadus macrocephalus
Majidae,Gadus macrocephalus
Majidae legs,Gadus macrocephalus
Mallotus villosus,Gadus macrocephalus
Melinna,Gadus macrocephalus
Metacrangon munita,Gadus macrocephalus
Meterythrops sp.,Gadus macrocephalus
Microgadus proximus,Gadus macrocephalus
Mollusca,Gadus macrocephalus
Munida quadrispina,Gadus macrocephalus
Mya sp.,Gadus macrocephalus
Mysidae,Gadus macrocephalus
Natica sp.,Gadus macrocephalus
Neomysis rayii,Gadus macrocephalus
Neptunea sp.,Gadus macrocephalus
Neptuneidae,Gadus macrocephalus
Nereidae,Gadus macrocephalus
No Code,Gadus macrocephalus
Non-gadoid Fish Remains,Gadus macrocephalus
Nudibranchia dendronotoidea,Gadus macrocephalus
Octopoda,Gadus macrocephalus
Onuphidae,Gadus macrocephalus
Ophiura sp.,Gadus macrocephalus
Ophiuroidae Ophiurida,Gadus macrocephalus
Ophiuroidae ophiurida chilophiurina,Gadus macrocephalus
Oregonia bifurca,Gadus macrocephalus
Oregonia gracilis,Gadus macrocephalus
Oregonia sp.,Gadus macrocephalus
Osteichthyes Teleostei,Gadus macrocephalus
Paguridae,Gadus macrocephalus
Pagurus aleuticus,Gadus macrocephalus
Pagurus rathbuni,Gadus macrocephalus
Pagurus sp.,Gadus macrocephalus
Pandalidae,Gadus macrocephalus
Pandalopsis dispar,Gadus macrocephalus
Pandalopsis sp.,Gadus macrocephalus
Pandalus borealis,Gadus macrocephalus
Pandalus goniurus,Gadus macrocephalus
Pandalus jordani,Gadus macrocephalus
Pandalus montagui tridens,Gadus macrocephalus
Pandalus sp.,Gadus macrocephalus
Paralithodes sp.,Gadus macrocephalus
Pasiphaea pacifica,Gadus macrocephalus
Pectinariidae,Gadus macrocephalus
Pectinidae,Gadus macrocephalus
Phyllodocida,Gadus macrocephalus
Phyllodocidae,Gadus macrocephalus
Pinnixa sp.,Gadus macrocephalus
Pinnotheridae,Gadus macrocephalus
Placetron wosnessenskii,Gadus macrocephalus
Pleuronectidae,Gadus macrocephalus
Pleuronectiformes Pleuronectoidei,Gadus macrocephalus
Polychaeta,Gadus macrocephalus
Porifera,Gadus macrocephalus
Poroclinus rothrocki,Gadus macrocephalus
Pseudomma sp.,Gadus macrocephalus
Reptantia,Gadus macrocephalus
Rhynocrangon alata,Gadus macrocephalus
Rocks,Gadus macrocephalus
Sarritor frenatus,Gadus macrocephalus
Sclerocrangon,Gadus macrocephalus
Scorpaenidae,Gadus macrocephalus
Sebastolobus alascanus,Gadus macrocephalus
Serpulidae,Gadus macrocephalus
Sipuncula,Gadus macrocephalus
Spirontocaris arcuata,Gadus macrocephalus
Spirontocaris lamellicornis,Gadus macrocephalus
Spirontocaris ochotensis,Gadus macrocephalus
Spirontocaris sp.,Gadus macrocephalus
Stichaeidae,Gadus macrocephalus
Strongylocentrotus sp.,Gadus macrocephalus
Teuthoidea,Gadus macrocephalus
Teuthoidea Myopsida,Gadus macrocephalus
Thaleichthys pacificus,Gadus macrocephalus
Themisto sp.,Gadus macrocephalus
Theragra chalcogramma,Gadus macrocephalus
Thysanoessa spinifera,Gadus macrocephalus
Trichodon trichodon,Gadus macrocephalus
Unidentified algae,Gadus macrocephalus
Unidentified eggs,Gadus macrocephalus
Unidentified material,Gadus macrocephalus
Unidentified tube,Gadus macrocephalus
Unidentified worm-like organism,Gadus macrocephalus
Wood,Gadus macrocephalus
Zoarcidae,Gadus macrocephalus
Bivalvia,Hemilepidotus jordani
Caridea,Hemilepidotus jordani
Chionoecetes bairdi,Hemilepidotus jordani
Osteichthyes Teleostei,Hemilepidotus jordani
Paguridae,Hemilepidotus jordani
Polychaeta,Hemilepidotus jordani
Theragra chalcogramma,Hemitripterus bolini
Amphipoda Hyperiidea,Hippoglossoides elassodon
Aphroditidae,Hippoglossoides elassodon
Arabellidae,Hippoglossoides elassodon
Argis lar,Hippoglossoides elassodon
Bivalvia,Hippoglossoides elassodon
Cancer magister,Hippoglossoides elassodon
Caridea,Hippoglossoides elassodon
Chionoecetes sp.,Hippoglossoides elassodon
Crangon communis,Hippoglossoides elassodon
Crangon sp.,Hippoglossoides elassodon
Crangonidae,Hippoglossoides elassodon
Crustacea,Hippoglossoides elassodon
Cumacea,Hippoglossoides elassodon
Eualus sp.,Hippoglossoides elassodon
Euphausia pacifica,Hippoglossoides elassodon
Euphausia sp.,Hippoglossoides elassodon
Euphausiidae,Hippoglossoides elassodon
Gammaridea,Hippoglossoides elassodon
Hippoglossoides elassodon,Hippoglossoides elassodon
Hippolytidae,Hippoglossoides elassodon
Isopoda,Hippoglossoides elassodon
Lumpenus sagitta,Hippoglossoides elassodon
Macoma sp.,Hippoglossoides elassodon
Malacocottus kincaidi,Hippoglossoides elassodon
Maldanidae,Hippoglossoides elassodon
Mallotus villosus,Hippoglossoides elassodon
Mysidae,Hippoglossoides elassodon
Natantia,Hippoglossoides elassodon
Nephtyidae,Hippoglossoides elassodon
No Code,Hippoglossoides elassodon
Non-gadoid Fish Remains,Hippoglossoides elassodon
Nucula sp.,Hippoglossoides elassodon
Nuculana sp.,Hippoglossoides elassodon
Nuculidae,Hippoglossoides elassodon
Ophiuroidea Euryalina,Hippoglossoides elassodon
Osteichthyes Teleostei,Hippoglossoides elassodon
Paguridae,Hippoglossoides elassodon
Pandalidae,Hippoglossoides elassodon
Pandalus borealis,Hippoglossoides elassodon
Pandalus sp.,Hippoglossoides elassodon
Pinnixa sp.,Hippoglossoides elassodon
Polychaeta,Hippoglossoides elassodon
Polynoidae,Hippoglossoides elassodon
Reptantia,Hippoglossoides elassodon
Tapes sp.,Hippoglossoides elassodon
Theragra chalcogramma,Hippoglossoides elassodon
Thysanoessa sp.,Hippoglossoides elassodon
Unidentified tube,Hippoglossoides elassodon
Yoldia sp.,Hippoglossoides elassodon
Acantholithodes hispidus,Hippoglossus stenolepis
Acanthomysis dybowskii,Hippoglossus stenolepis
Agonidae,Hippoglossus stenolepis
Ammodytes hexapterus,Hippoglossus stenolepis
Anomura,Hippoglossus stenolepis
Anoplagonus inermis,Hippoglossus stenolepis
Anthozoa,Hippoglossus stenolepis
Anthozoa,Hippoglossus stenolepis
Arcturidae,Hippoglossus stenolepis
Argis dentata,Hippoglossus stenolepis
Argis levior,Hippoglossus stenolepis
Artediellus sp.,Hippoglossus stenolepis
Asteroidea,Hippoglossus stenolepis
Atheresthes stomias,Hippoglossus stenolepis
Aves,Hippoglossus stenolepis
Bathymaster signatus,Hippoglossus stenolepis
Bivalvia,Hippoglossus stenolepis
Boreogadus saida,Hippoglossus stenolepis
Buccinum sp.,Hippoglossus stenolepis
Cancer oregonensis,Hippoglossus stenolepis
Capitellida,Hippoglossus stenolepis
Caridea,Hippoglossus stenolepis
Caridea,Hippoglossus stenolepis
Cephalopoda,Hippoglossus stenolepis
Chionoecetes bairdi,Hippoglossus stenolepis
Chionoecetes sp.,Hippoglossus stenolepis
Clypeasteridae,Hippoglossus stenolepis
Cottidae,Hippoglossus stenolepis
Crangon alaskensis,Hippoglossus stenolepis
Crangon alba,Hippoglossus stenolepis
Crangon communis,Hippoglossus stenolepis
Crangon dalli,Hippoglossus stenolepis
Crangon sp.,Hippoglossus stenolepis
Crangonidae,Hippoglossus stenolepis
Cyclopteridae,Hippoglossus stenolepis
Decapoda,Hippoglossus stenolepis
Diastylis sp.,Hippoglossus stenolepis
Echiurus echiurus,Hippoglossus stenolepis
Elassachirus tenuimanus,Hippoglossus stenolepis
Elassochirus cavimanus,Hippoglossus stenolepis
Elassochirus sp.,Hippoglossus stenolepis
Eualus suckleyi,Hippoglossus stenolepis
Fishery discards,Hippoglossus stenolepis
Fusitriton oregonensis,Hippoglossus stenolepis
Gadidae,Hippoglossus stenolepis
Gadus macrocephalus,Hippoglossus stenolepis
Gammaridea,Hippoglossus stenolepis
Gastropoda,Hippoglossus stenolepis
Gonatus magister,Hippoglossus stenolepis
Gymnolaemata Cheilostomata,Hippoglossus stenolepis
Hemilepidotus jordani,Hippoglossus stenolepis
Hemilepidotus sp.,Hippoglossus stenolepis
Heptacarpus stylus,Hippoglossus stenolepis
Heptacarpus tridens,Hippoglossus stenolepis
Hippoglossoides elassodon,Hippoglossus stenolepis
Hippoglossus stenolepis,Hippoglossus stenolepis
Hippolytidae,Hippoglossus stenolepis
Holothuroidea,Hippoglossus stenolepis
Hyas lyratus,Hippoglossus stenolepis
Hyas sp.,Hippoglossus stenolepis
Icelinus borealis,Hippoglossus stenolepis
Icelus sp.,Hippoglossus stenolepis
Lebbeus grandimanus,Hippoglossus stenolepis
Lebbeus groenlandicus,Hippoglossus stenolepis
Lepidopsetta sp.,Hippoglossus stenolepis
Liparis sp.,Hippoglossus stenolepis
Lithodidae,Hippoglossus stenolepis
Lopholithodes foraminatus,Hippoglossus stenolepis
Lopholithodes mandtii,Hippoglossus stenolepis
Lycodes brevipes,Hippoglossus stenolepis
Lycodes palearis,Hippoglossus stenolepis
Lysianassidae,Hippoglossus stenolepis
Majidae,Hippoglossus stenolepis
Malacocottus kincaidi,Hippoglossus stenolepis
Mallotus villosus,Hippoglossus stenolepis
Metacrangon sp.,Hippoglossus stenolepis
Microstomus pacificus,Hippoglossus stenolepis
Modulus modulus,Hippoglossus stenolepis
Mollusca,Hippoglossus stenolepis
Munida quadrispina,Hippoglossus stenolepis
Mytilidae,Hippoglossus stenolepis
Naticidae,Hippoglossus stenolepis
No Code,Hippoglossus stenolepis
Non-gadoid Fish Remains,Hippoglossus stenolepis
Nuculana fossa,Hippoglossus stenolepis
Nuculana sp.,Hippoglossus stenolepis
Octopoda,Hippoglossus stenolepis
Oncorhynchus kisutch,Hippoglossus stenolepis
Oncorhynchus sp.,Hippoglossus stenolepis
Ophiuroidea,Hippoglossus stenolepis
Oregonia gracilis,Hippoglossus stenolepis
Osteichthyes Teleostei,Hippoglossus stenolepis
Paguridae,Hippoglossus stenolepis
Pagurus aleuticus,Hippoglossus stenolepis
Pagurus kennerlyi,Hippoglossus stenolepis
Pagurus ochotensis,Hippoglossus stenolepis
Pagurus rathbuni,Hippoglossus stenolepis
Pagurus sp.,Hippoglossus stenolepis
Pandalidae,Hippoglossus stenolepis
Pandalus borealis,Hippoglossus stenolepis
Pandalus montagui tridens,Hippoglossus stenolepis
Pandalus sp.,Hippoglossus stenolepis
Pandalus stenolepis,Hippoglossus stenolepis
Pasiphaeidaea,Hippoglossus stenolepis
Phaeophyta,Hippoglossus stenolepis
Pholis clemensi,Hippoglossus stenolepis
Phyllolithodes papillosus,Hippoglossus stenolepis
Pinnixa sp.,Hippoglossus stenolepis
Pinnotheridae,Hippoglossus stenolepis
Pleuronectes asper,Hippoglossus stenolepis
Pleuronectidae,Hippoglossus stenolepis
Polychaeta,Hippoglossus stenolepis
Polynoidae,Hippoglossus stenolepis
Pugettia gracilis,Hippoglossus stenolepis
Reptantia,Hippoglossus stenolepis
Rhinolithodes wosnessenskii,Hippoglossus stenolepis
Rhynocrangon alata,Hippoglossus stenolepis
Sarritor frenatus,Hippoglossus stenolepis
Scorpaenidae,Hippoglossus stenolepis
Sebastes alutus,Hippoglossus stenolepis
Spirontocaris arcuata,Hippoglossus stenolepis
Spirontocaris lamellicornis,Hippoglossus stenolepis
Spirontocaris prionota,Hippoglossus stenolepis
Spirontocaris sp.,Hippoglossus stenolepis
Stichaeidae,Hippoglossus stenolepis
Teuthoidea Myopsida,Hippoglossus stenolepis
Thaleichthys pacificus,Hippoglossus stenolepis
Theragra chalcogramma,Hippoglossus stenolepis
Trichobranchidae,Hippoglossus stenolepis
Triglops pingeli,Hippoglossus stenolepis
Triglops pingeli,Hippoglossus stenolepis
Unidentified algae,Hippoglossus stenolepis
Unidentified material,Hippoglossus stenolepis
Unidentified worm-like organism,Hippoglossus stenolepis
Yoldia sp.,Hippoglossus stenolepis
Zaprora silenus,Hippoglossus stenolepis
Ampeliscidae,Lepidopsetta bilineata
Anthozoa,Lepidopsetta bilineata
Bivalvia,Lepidopsetta bilineata
Brachiopoda,Lepidopsetta bilineata
Calanoida,Lepidopsetta bilineata
Caprellidea,Lepidopsetta bilineata
Caridea,Lepidopsetta bilineata
Chionoecetes sp.,Lepidopsetta bilineata
Crangonidae,Lepidopsetta bilineata
Cumacea,Lepidopsetta bilineata
Decapoda brachyura,Lepidopsetta bilineata
Echinoidea,Lepidopsetta bilineata
Echiura,Lepidopsetta bilineata
Gadus macrocephalus,Lepidopsetta bilineata
Gammaridea,Lepidopsetta bilineata
Gastropoda,Lepidopsetta bilineata
Glyceridae,Lepidopsetta bilineata
Hippoglossus stenolepis,Lepidopsetta bilineata
Hirudinea,Lepidopsetta bilineata
Holothuroidea,Lepidopsetta bilineata
Hyas sp.,Lepidopsetta bilineata
Hypsagonus quadricornis,Lepidopsetta bilineata
Isopoda,Lepidopsetta bilineata
Majidae,Lepidopsetta bilineata
Maldanidae,Lepidopsetta bilineata
No Code,Lepidopsetta bilineata
Onuphidae,Lepidopsetta bilineata
Opheliidae,Lepidopsetta bilineata
Ophiura sarsi,Lepidopsetta bilineata
Ophiuroidae Ophiurida,Lepidopsetta bilineata
Oregonia sp.,Lepidopsetta bilineata
Paguridae,Lepidopsetta bilineata
Pectinidae,Lepidopsetta bilineata
Pinnotheridae,Lepidopsetta bilineata
Pleuronectidae,Lepidopsetta bilineata
Polychaeta,Lepidopsetta bilineata
Sand dollar,Lepidopsetta bilineata
Sebastes sp.,Lepidopsetta bilineata
Sipuncula,Lepidopsetta bilineata
Unidentified organic material,Lepidopsetta bilineata
Urochordata,Lepidopsetta bilineata
Ampeliscidae,Lepidopsetta polyxystra
Anthozoa,Lepidopsetta polyxystra
Ascidiacea,Lepidopsetta polyxystra
Bivalvia,Lepidopsetta polyxystra
Brachiopoda,Lepidopsetta polyxystra
Calanoida,Lepidopsetta polyxystra
Caprellidea,Lepidopsetta polyxystra
Caridea,Lepidopsetta polyxystra
Chionoecetes bairdi,Lepidopsetta polyxystra
Chlamys sp.,Lepidopsetta polyxystra
Cottidae,Lepidopsetta polyxystra
Crangonidae,Lepidopsetta polyxystra
Crustacea,Lepidopsetta polyxystra
Cumacea,Lepidopsetta polyxystra
Decapoda brachyura,Lepidopsetta polyxystra
Echinoidea,Lepidopsetta polyxystra
Echiura,Lepidopsetta polyxystra
Erimacrus isenbeckii,Lepidopsetta polyxystra
Euphausiacea,Lepidopsetta polyxystra
Flabelligeridae,Lepidopsetta polyxystra
Gammaridea,Lepidopsetta polyxystra
Gastropoda,Lepidopsetta polyxystra
Glyceridae,Lepidopsetta polyxystra
Hippolytidae,Lepidopsetta polyxystra
Holothuroidea,Lepidopsetta polyxystra
Isopoda,Lepidopsetta polyxystra
Majidae,Lepidopsetta polyxystra
Maldanidae,Lepidopsetta polyxystra
No Code,Lepidopsetta polyxystra
Onuphidae,Lepidopsetta polyxystra
Opheliidae,Lepidopsetta polyxystra
Ophiuroidae Ophiurida,Lepidopsetta polyxystra
Oregonia sp.,Lepidopsetta polyxystra
Osteichthyes Teleostei,Lepidopsetta polyxystra
Paguridae,Lepidopsetta polyxystra
Pectinidae,Lepidopsetta polyxystra
Pentamera sp.,Lepidopsetta polyxystra
Polychaeta,Lepidopsetta polyxystra
Polynoidae,Lepidopsetta polyxystra
Priapulida,Lepidopsetta polyxystra
Pteropoda,Lepidopsetta polyxystra
Reptantia,Lepidopsetta polyxystra
Sebastes sp.,Lepidopsetta polyxystra
Sipuncula,Lepidopsetta polyxystra
Telmessus cheiragonus,Lepidopsetta polyxystra
Teuthoidea,Lepidopsetta polyxystra
Thysanoessa raschii,Lepidopsetta polyxystra
Unidentified organic material,Lepidopsetta polyxystra
Unidentified worm-like organism,Lepidopsetta polyxystra
Anomura,Lepidopsetta sp.
Caridea,Lepidopsetta sp.
Chionoecetes sp.,Lepidopsetta sp.
Clypeasteridae,Lepidopsetta sp.
Crangonidae,Lepidopsetta sp.
Echiura,Lepidopsetta sp.
Mallotus villosus,Lepidopsetta sp.
No Code,Lepidopsetta sp.
Polychaeta,Lepidopsetta sp.
Amphipoda,Microstomus pacificus
Annelida,Microstomus pacificus
